tree_id,year,tree_dbh,health,spc_latin,spc_common,root_stone,root_grate,root_other,trunk_wire,address,zipcode,boro_name,longitude,latitude,block_code,sidewalk
559,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"33-057 JUNCTION BOULEVARD, Jackson Heights",11372,Queens,-73.87297434,40.7549868,TEST-11372,Unknown
7911,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"198 RICHMOND TERRACE, Staten Island",10301,Staten Island,-74.07958844,40.64673194,TEST-10301,Unknown
7912,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"198 RICHMOND TERRACE, Staten Island",10301,Staten Island,-74.07970635,40.64679698,TEST-10301,Unknown
2282,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1738 UNION STREET, Brooklyn",11213,Brooklyn,-73.93043272,40.6677265,TEST-11213,Unknown
2818,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"46-020 102 STREET, Corona",11368,Queens,-73.8620939,40.74506628,TEST-11368,Unknown
5083,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1132 CLAY AVENUE, Bronx",10456,Bronx,-73.91177725,40.8301173,TEST-10456,Unknown
4440,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"50 BAY STREET, Staten Island",10301,Staten Island,-74.07589072,40.64088724,TEST-10301,Unknown
5031,2015,5.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"225 EAST 163 STREET, Bronx",10456,Bronx,-73.91912509,40.82780781,TEST-10456,
4499,2015,5.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"37-044 75 STREET, Jackson Heights",11372,Queens,-73.89066728,40.74776527,TEST-11372,
4199,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"70-065 QUEENS BOULEVARD, Woodside",11377,Queens,-73.89177665,40.73960133,TEST-11377,Unknown
6203,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"208 RICHMOND TERRACE, Staten Island",10301,Staten Island,-74.08019867,40.64728855,TEST-10301,Unknown
5133,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1188 SHERIDAN AVENUE, Bronx",10456,Bronx,-73.9168809,40.83371344,TEST-10456,Unknown
5240,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1174 TELLER AVENUE, Bronx",10456,Bronx,-73.91173369,40.83217913,TEST-10456,
1747,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"36 SATURN LANE, Staten Island",10314,Staten Island,-74.15877844,40.58274366,TEST-10314,
12220,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2282 BRONX PARK EAST, Bronx",10467,Bronx,-73.8709426,40.85950618,TEST-10467,Unknown
19797,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"22-010 99 STREET, East Elmhurst",11369,Queens,-73.8721621,40.7709573,TEST-11369,
887,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"555 WEST 53 STREET, New York",10019,Manhattan,-73.99278658,40.76761104,TEST-10019,
12219,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2260 BRONX PARK EAST, Bronx",10467,Bronx,-73.87099822,40.85911763,TEST-10467,Unknown
19805,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"22-011 98 STREET, East Elmhurst",11369,Queens,-73.87288963,40.77092382,TEST-11369,
